idade_em_2023;nome_curso;distancia_cidade_polo;genero;raca;estado_civil;jornada;renda_familiar;tempo_ensino_medio;motivo_ead;internet_casa;evadiu
35;Tecnologia em Sistemas Para Internet - Tecnólogo;De 100 a 200 km;Masculino;Preta;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;De 3 a 5 anos;Carga horária flexível e compatível com minha realidade;Sim;0
45;Educação Física - Licenciatura Plena;De 50km a 100 km;Feminino;Parda;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
33;Pedagogia - Licenciatura;Moro no mesmo município do polo;Feminino;Branca;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
31;Tecnologia em Sistemas Para Internet - Tecnólogo;De 100 a 200 km;Feminino;Branca;Solteiro(a);Até 20 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
31;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Feminino;Parda;Solteiro(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;De 3 a 5 anos;Carga horária flexível e compatível com minha realidade;Sim;0
35;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Feminino;Parda;Casado(a);Não estou trabalhando;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
31;Pedagogia - Licenciatura;Até 50km;Feminino;Parda;Solteiro(a);Não estou trabalhando;Até 1 salário mínimo por pessoa;Mais de 10 anos;Autonomia nos estudos;Não;0
38;Tecnologia em Sistemas Para Internet - Tecnólogo;Moro no mesmo município do polo;Masculino;Parda;Casado(a);Mais de 40 horas;Mais de 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
31;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Feminino;Parda;Solteiro(a);Não estou trabalhando;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
37;Geografia - Licenciatura;Moro no mesmo município do polo;Feminino;Parda;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
79;Letras Português - Licenciatura;Moro no mesmo município do polo;Feminino;Branca;Solteiro(a);Não estou trabalhando;De 2 a 4 salários mínimos por pessoa;De 5 a 10 anos;Facilidade de acesso às aulas e ao material didático;Sim;1
48;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Até 50km;Feminino;Branca;Divorciado(a);Até 20 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
41;Educação Física - Licenciatura Plena;De 50km a 100 km;Masculino;Preta;Casado(a);Mais de 40 horas;Mais de 4 salários mínimos por pessoa;Mais de 10 anos;Autonomia nos estudos;Sim;0
38;Geografia - Licenciatura;Moro no mesmo município do polo;Masculino;Preta;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
30;Letras Português - Licenciatura;Moro no mesmo município do polo;Feminino;Parda;Solteiro(a);Até 20 horas;Até 1 salário mínimo por pessoa;De 5 a 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
30;Letras Português - Licenciatura;Até 50km;Feminino;Parda;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;De 5 a 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
33;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;De 50km a 100 km;Masculino;Parda;Solteiro(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
31;Tecnologia em Sistemas Para Internet - Tecnólogo;De 100 a 200 km;Masculino;Parda;Casado(a);Mais de 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
48;Pedagogia - Licenciatura;De 100 a 200 km;Feminino;Preta;Solteiro(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
32;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Feminino;Parda;Casado(a);Até 20 horas;Até 1 salário mínimo por pessoa;De 5 a 10 anos;Autonomia nos estudos;Sim;0
36;Educação Física - Licenciatura Plena;Moro no mesmo município do polo;Masculino;Parda;Casado(a);Mais de 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Facilidade de acesso às aulas e ao material didático;Sim;0
35;Educação Física - Licenciatura Plena;Moro no mesmo município do polo;Feminino;Parda;Solteiro(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;De 5 a 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
35;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Feminino;Parda;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
49;Letras Português - Licenciatura;De 50km a 100 km;Feminino;Preta;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
26;Educação Física - Licenciatura Plena;Moro no mesmo município do polo;Feminino;Parda;Solteiro(a);Não estou trabalhando;Até 1 salário mínimo por pessoa;De 3 a 5 anos;Carga horária flexível e compatível com minha realidade;Sim;0
29;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Masculino;Branca;Solteiro(a);Não estou trabalhando;Até 1 salário mínimo por pessoa;De 5 a 10 anos;Custos mais baixos para concluir o curso;Sim;1
25;Tecnologia em Gestão de Saúde Pública - Tecnólogo;De 100 a 200 km;Feminino;Preta;Solteiro(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;De 3 a 5 anos;Facilidade de acesso às aulas e ao material didático;Sim;0
26;Letras Português - Licenciatura;Moro no mesmo município do polo;Masculino;Branca;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;De 3 a 5 anos;Autonomia nos estudos;Sim;1
48;Letras Português - Licenciatura;Moro no mesmo município do polo;Feminino;Branca;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
28;Letras Português - Licenciatura;Até 50km;Outro;Preta;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;De 5 a 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
37;Pedagogia - Licenciatura;Moro no mesmo município do polo;Feminino;Preta;Casado(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
44;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Até 50km;Masculino;Parda;Casado(a);Até 20 horas;De 1 a 2 salários mínimos por pessoa;De 3 a 5 anos;Carga horária flexível e compatível com minha realidade;Sim;1
35;Geografia - Licenciatura;Moro no mesmo município do polo;Feminino;Branca;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;De 5 a 10 anos;Custos mais baixos para concluir o curso;Sim;0
43;Letras Português - Licenciatura;De 50km a 100 km;Masculino;Parda;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
36;Educação Física - Licenciatura Plena;Moro no mesmo município do polo;Masculino;Parda;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
40;Letras Português - Licenciatura;De 50km a 100 km;Feminino;Parda;Casado(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;De 5 a 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
40;Educação Física - Licenciatura Plena;Até 50km;Masculino;Parda;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
41;Tecnologia em Sistemas Para Internet - Tecnólogo;Mais de 200 km;Masculino;Preta;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;De 5 a 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
42;Geografia - Licenciatura;Moro no mesmo município do polo;Masculino;Preta;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
42;Geografia - Licenciatura;Moro no mesmo município do polo;Masculino;Parda;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
42;Pedagogia - Licenciatura;Moro no mesmo município do polo;Feminino;Parda;Casado(a);Não estou trabalhando;Até 1 salário mínimo por pessoa;De 3 a 5 anos;Custos mais baixos para concluir o curso;Sim;0
34;Pedagogia - Licenciatura;Moro no mesmo município do polo;Feminino;Parda;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Custos mais baixos para concluir o curso;Sim;0
48;Pedagogia - Licenciatura;De 100 a 200 km;Feminino;Parda;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
46;Geografia - Licenciatura;Moro no mesmo município do polo;Masculino;Parda;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Custos mais baixos para concluir o curso;Sim;0
47;Letras Português - Licenciatura;Até 50km;Feminino;Parda;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
44;Pedagogia - Licenciatura;De 50km a 100 km;Masculino;Preta;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Autonomia nos estudos;Sim;0
44;Educação Física - Licenciatura Plena;Moro no mesmo município do polo;Masculino;Parda;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Autonomia nos estudos;Sim;0
45;Pedagogia - Licenciatura;De 50km a 100 km;Feminino;Parda;Solteiro(a);Não estou trabalhando;De 2 a 4 salários mínimos por pessoa;De 1 a 3 anos;Carga horária flexível e compatível com minha realidade;Sim;0
43;Pedagogia - Licenciatura;De 50km a 100 km;Feminino;Branca;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
43;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Masculino;Branca;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Autonomia nos estudos;Sim;1
34;Educação Física - Licenciatura Plena;Até 50km;Masculino;Parda;Casado(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Facilidade de acesso às aulas e ao material didático;Sim;0
49;Pedagogia - Licenciatura;Moro no mesmo município do polo;Feminino;Parda;Divorciado(a);Até 20 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
43;Educação Física - Licenciatura Plena;Até 50km;Feminino;Parda;Casado(a);Não estou trabalhando;Até 1 salário mínimo por pessoa;Mais de 10 anos;Autonomia nos estudos;Sim;0
48;Letras Português - Licenciatura;Moro no mesmo município do polo;Masculino;Branca;Casado(a);Mais de 40 horas;Mais de 4 salários mínimos por pessoa;Mais de 10 anos;Facilidade de acesso às aulas e ao material didático;Sim;1
43;Letras Português - Licenciatura;Mais de 200 km;Feminino;Parda;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
40;Pedagogia - Licenciatura;Até 50km;Feminino;Preta;Divorciado(a);Não estou trabalhando;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Custos mais baixos para concluir o curso;Sim;0
40;Letras Português - Licenciatura;Moro no mesmo município do polo;Masculino;Parda;Casado(a);Mais de 40 horas;Até 1 salário mínimo por pessoa;De 5 a 10 anos;Autonomia nos estudos;Sim;1
42;Pedagogia - Licenciatura;Moro no mesmo município do polo;Feminino;Branca;Solteiro(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
43;Educação Física - Licenciatura Plena;De 50km a 100 km;Masculino;Parda;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Facilidade de acesso às aulas e ao material didático;Sim;1
42;Letras Português - Licenciatura;Moro no mesmo município do polo;Feminino;Parda;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
43;Educação Física - Licenciatura Plena;Moro no mesmo município do polo;Masculino;Parda;Divorciado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
38;Educação Física - Licenciatura Plena;De 100 a 200 km;Feminino;Parda;Casado(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
46;Pedagogia - Licenciatura;Mais de 200 km;Feminino;Preta;Solteiro(a);Até 20 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Não;0
44;Pedagogia - Licenciatura;Mais de 200 km;Feminino;Parda;Casado(a);Até 20 horas;De 2 a 4 salários mínimos por pessoa;De 1 a 3 anos;Carga horária flexível e compatível com minha realidade;Sim;0
32;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Moro no mesmo município do polo;Masculino;Branca;Solteiro(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
41;Pedagogia - Licenciatura;Mais de 200 km;Feminino;Parda;Casado(a);Não estou trabalhando;Até 1 salário mínimo por pessoa;De 5 a 10 anos;outros;Sim;0
44;Letras Português - Licenciatura;Moro no mesmo município do polo;Masculino;Preta;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
42;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;De 50km a 100 km;Masculino;Parda;Divorciado(a);Até 20 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
38;Pedagogia - Licenciatura;De 100 a 200 km;Feminino;Parda;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Autonomia nos estudos;Sim;0
44;Educação Física - Licenciatura Plena;De 100 a 200 km;Masculino;Preta;Solteiro(a);Até 20 horas;De 2 a 4 salários mínimos por pessoa;De 3 a 5 anos;Autonomia nos estudos;Não;0
43;Tecnologia em Sistemas Para Internet - Tecnólogo;De 50km a 100 km;Masculino;Branca;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;De 3 a 5 anos;Facilidade de acesso às aulas e ao material didático;Sim;1
37;Tecnologia em Sistemas Para Internet - Tecnólogo;De 100 a 200 km;Masculino;Preta;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
26;Pedagogia - Licenciatura;Moro no mesmo município do polo;Masculino;Parda;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;De 3 a 5 anos;Carga horária flexível e compatível com minha realidade;Sim;0
38;Tecnologia em Gestão de Saúde Pública - Tecnólogo;De 50km a 100 km;Feminino;Parda;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
36;Pedagogia - Licenciatura;Moro no mesmo município do polo;Feminino;Parda;Casado(a);Até 20 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
39;Tecnologia em Sistemas Para Internet - Tecnólogo;Moro no mesmo município do polo;Masculino;Parda;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
36;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Moro no mesmo município do polo;Feminino;Parda;Divorciado(a);Mais de 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
39;Letras Português - Licenciatura;Moro no mesmo município do polo;Feminino;Parda;Solteiro(a);Até 20 horas;De 2 a 4 salários mínimos por pessoa;De 3 a 5 anos;Carga horária flexível e compatível com minha realidade;Não;1
36;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Até 50km;Feminino;Branca;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;De 5 a 10 anos;outros;Sim;1
42;Tecnologia em Gestão de Saúde Pública - Tecnólogo;De 100 a 200 km;Feminino;Parda;Casado(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
35;Pedagogia - Licenciatura;De 100 a 200 km;Feminino;Parda;Solteiro(a);Mais de 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
38;Tecnologia em Gestão de Saúde Pública - Tecnólogo;De 50km a 100 km;Feminino;Preta;Casado(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;De 5 a 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
37;Pedagogia - Licenciatura;Moro no mesmo município do polo;Feminino;Preta;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Custos mais baixos para concluir o curso;Sim;1
35;Educação Física - Licenciatura Plena;Mais de 200 km;Masculino;Parda;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
37;Educação Física - Licenciatura Plena;De 50km a 100 km;Masculino;Parda;Solteiro(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
36;Pedagogia - Licenciatura;Até 50km;Feminino;Parda;Casado(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Facilidade de acesso às aulas e ao material didático;Sim;0
37;Geografia - Licenciatura;Até 50km;Feminino;Parda;Casado(a);Mais de 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Custos mais baixos para concluir o curso;Não;0
37;Pedagogia - Licenciatura;Moro no mesmo município do polo;Feminino;Parda;Divorciado(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Não;0
29;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Até 50km;Feminino;Parda;Solteiro(a);Até 20 horas;De 2 a 4 salários mínimos por pessoa;De 1 a 3 anos;Carga horária flexível e compatível com minha realidade;Sim;0
42;Letras Português - Licenciatura;Moro no mesmo município do polo;Feminino;Parda;Solteiro(a);Não estou trabalhando;Até 1 salário mínimo por pessoa;De 5 a 10 anos;Carga horária flexível e compatível com minha realidade;Não;0
37;Geografia - Licenciatura;Moro no mesmo município do polo;Masculino;Branca;Divorciado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;De 3 a 5 anos;Carga horária flexível e compatível com minha realidade;Não;0
37;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Masculino;Parda;Solteiro(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
32;Letras Português - Licenciatura;Moro no mesmo município do polo;Feminino;Branca;Solteiro(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;De 5 a 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
38;Educação Física - Licenciatura Plena;Moro no mesmo município do polo;Masculino;Preta;Solteiro(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Custos mais baixos para concluir o curso;Sim;0
33;Educação Física - Licenciatura Plena;De 50km a 100 km;Feminino;Preta;Solteiro(a);Até 20 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Facilidade de acesso às aulas e ao material didático;Sim;0
38;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Feminino;Preta;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
35;Educação Física - Licenciatura Plena;Moro no mesmo município do polo;Feminino;Branca;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
33;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Até 50km;Masculino;Parda;Casado(a);Mais de 40 horas;Até 1 salário mínimo por pessoa;De 3 a 5 anos;Carga horária flexível e compatível com minha realidade;Sim;0
34;Educação Física - Licenciatura Plena;De 50km a 100 km;Feminino;Parda;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Custos mais baixos para concluir o curso;Não;1
36;Educação Física - Licenciatura Plena;De 50km a 100 km;Masculino;Branca;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
38;Tecnologia em Sistemas Para Internet - Tecnólogo;De 50km a 100 km;Feminino;Parda;Solteiro(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Facilidade de acesso às aulas e ao material didático;Sim;1
37;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Feminino;Parda;Solteiro(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;De 3 a 5 anos;outros;Sim;0
36;Pedagogia - Licenciatura;Moro no mesmo município do polo;Feminino;Preta;Solteiro(a);Não estou trabalhando;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Não;0
31;Pedagogia - Licenciatura;Moro no mesmo município do polo;Masculino;Parda;Solteiro(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;outros;Sim;0
