idade_em_2023;nome_curso;nome_polo;distancia_polo;distancia_cidade_polo;ano_ingresso;genero;raca;estado_civil;profissao;jornada;renda_familiar;modalidade_ensino_medio;tipo_instituicao;tempo_ensino_medio;possui_graduacao;modalidade_graduacao;ja_fez_curso_ead;turno_ava;dias_acesso_ava;motivo_ead;internet_casa;local_acesso_ava;tipo_necessidade_especial;ferramenta_tecnologica;evadiu
55;Letras Português - Licenciatura;Jequitinhonha;27.81;Até 50km;2018;Feminino;Parda;Casado(a);Outro;De 21 a 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;1
48;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Montes Claros;0;Moro no mesmo município do polo;2018;Masculino;Branca;Casado(a);Sim, atuo no serviço público (federal, estadual ou municipal);De 21 a 40 horas;Mais de 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) particular(es);Mais de 10 anos;Sim;Presencial;Sim;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
62;Letras Português - Licenciatura;Mantena;0;Moro no mesmo município do polo;2018;Feminino;Preta;Casado(a);Outro;Até 20 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;1
36;Educação Física - Licenciatura Plena;Monte Azul;245.047;Mais de 200 km;2018;Feminino;Branca;Casado(a);Outro;De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) particular(es);Mais de 10 anos;Sim;Presencial;Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;1
37;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Bocaiúva;47.647;Até 50km;2018;Masculino;Parda;Solteiro(a);Outro;De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) particular(es);Mais de 10 anos;Não;Presencial;Não;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;1
42;Pedagogia - Licenciatura;Monte Azul;245.047;Mais de 200 km;2018;Feminino;Preta;Casado(a);Outro;De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Sim;Noite;Sábados e domingos;Autonomia nos estudos;Sim;Em casa;Não tenho necessidades especiais;Computador;0
36;Educação Física - Licenciatura Plena;Monte Azul;0;Moro no mesmo município do polo;2018;Masculino;Parda;Casado(a);Outro;Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;A distância (ou semipresencial);Sim;Noite;Sábados e domingos;Autonomia nos estudos;Sim;Em casa;Não tenho necessidades especiais;Computador;0
41;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Bocaiúva;47.647;De 50km a 100 km;2018;Masculino;Parda;Solteiro(a);Sim, atuo no serviço público (federal, estadual ou municipal);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Não fiz outra graduação;Não;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
67;Letras Português - Licenciatura;Jequitinhonha;27.81;Até 50km;2018;Masculino;Preta;Casado(a);Outro;Mais de 40 horas;Mais de 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Sim;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;1
33;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Joaíma;0;Moro no mesmo município do polo;2018;Feminino;Preta;Solteiro(a);Sim, atuo no serviço público (federal, estadual ou municipal);Mais de 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 5 a 10 anos;Não;A distância (ou semipresencial);Não;Noite;Sábados e domingos;outros;Sim;No trabalho;Não tenho necessidades especiais;Smartphone;1
49;Letras Português - Licenciatura;Mantena;0;Moro no mesmo município do polo;2018;Feminino;Parda;Divorciado(a);Outro;Mais de 40 horas;Mais de 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;A distância (ou semipresencial);Sim;Noite;De segunda a sexta;Facilidade de acesso às aulas e ao material didático;Sim;Em casa;Não tenho necessidades especiais;Computador;1
35;Tecnologia em Sistemas Para Internet - Tecnólogo;Brasília de Minas;105.599;De 100 a 200 km;2018;Masculino;Preta;Casado(a);Sim, atuo no serviço público (federal, estadual ou municipal);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 3 a 5 anos;Não;Não fiz outra graduação;Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
45;Educação Física - Licenciatura Plena;Urucuia;53.44;De 50km a 100 km;2018;Feminino;Parda;Solteiro(a);Sim, atuo no serviço público (federal, estadual ou municipal);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Não fiz outra graduação;Sim;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
33;Pedagogia - Licenciatura;Monte Azul;0;Moro no mesmo município do polo;2018;Feminino;Branca;Casado(a);Sim, atuo no serviço público (federal, estadual ou municipal);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Não fiz outra graduação;Não;Manhã;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
31;Tecnologia em Sistemas Para Internet - Tecnólogo;Brasília de Minas;105.599;De 100 a 200 km;2018;Feminino;Branca;Solteiro(a);Outro;Até 20 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) particular(es);Mais de 10 anos;Sim;Presencial;Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;1
31;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Montes Claros;0;Moro no mesmo município do polo;2018;Feminino;Parda;Solteiro(a);Outro;Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 3 a 5 anos;Não;Não fiz outra graduação;Não;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
35;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Montes Claros;0;Moro no mesmo município do polo;2018;Feminino;Parda;Casado(a);Não, não estou trabalhando;Não estou trabalhando;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Não fiz outra graduação;Não;Tarde;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
31;Pedagogia - Licenciatura;Urucuia;33.946;Até 50km;2018;Feminino;Parda;Solteiro(a);Não, não estou trabalhando;Não estou trabalhando;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;A distância (ou semipresencial);Sim;Noite;De segunda a sexta;Autonomia nos estudos;Não;Em casa de familiares e/ou amigos;Não tenho necessidades especiais;Computador;0
38;Tecnologia em Sistemas Para Internet - Tecnólogo;Brasília de Minas;0;Moro no mesmo município do polo;2018;Masculino;Parda;Casado(a);Sim, atuo no serviço público (federal, estadual ou municipal);Mais de 40 horas;Mais de 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Sim;Manhã;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
31;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Montes Claros;0;Moro no mesmo município do polo;2018;Feminino;Parda;Solteiro(a);Não, não estou trabalhando;Não estou trabalhando;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Não fiz outra graduação;Não;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
37;Geografia - Licenciatura;Mantena;0;Moro no mesmo município do polo;2018;Feminino;Parda;Casado(a);Sim, atuo no setor privado;Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Educação de Jovens e Adultos (EJA);Em escola(s) pública(s);Mais de 10 anos;Sim;A distância (ou semipresencial);Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;1
79;Letras Português - Licenciatura;Mantena;0;Moro no mesmo município do polo;2018;Feminino;Branca;Solteiro(a);Não, não estou trabalhando;Não estou trabalhando;De 2 a 4 salários mínimos por pessoa;Educação de Jovens e Adultos (EJA);Em escola(s) pública(s);De 5 a 10 anos;Sim;A distância (ou semipresencial);Sim;Tarde;De segunda a sexta;Facilidade de acesso às aulas e ao material didático;Sim;Em casa;Não tenho necessidades especiais;Computador;1
48;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Bocaiúva;47.647;Até 50km;2018;Feminino;Branca;Divorciado(a);Outro;Até 20 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;A distância (ou semipresencial);Não;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;1
41;Educação Física - Licenciatura Plena;Joaíma;76.278;De 50km a 100 km;2018;Masculino;Preta;Casado(a);Sim, atuo no serviço público (federal, estadual ou municipal);Mais de 40 horas;Mais de 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Sim;Noite;De segunda a sexta;Autonomia nos estudos;Sim;Em casa;Não tenho necessidades especiais;Computador;0
38;Geografia - Licenciatura;Mantena;0;Moro no mesmo município do polo;2018;Masculino;Preta;Solteiro(a);Outro;De 21 a 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;A distância (ou semipresencial);Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;1
30;Letras Português - Licenciatura;Itamarandiba;0;Moro no mesmo município do polo;2018;Feminino;Parda;Solteiro(a);Outro;Até 20 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 5 a 10 anos;Sim;A distância (ou semipresencial);Não;Tarde;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;1
30;Letras Português - Licenciatura;Mantena;0;Até 50km;2018;Feminino;Parda;Casado(a);Outro;Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 5 a 10 anos;Sim;Presencial;Sim;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
33;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Bocaiúva;47.647;De 50km a 100 km;2018;Masculino;Parda;Solteiro(a);Outro;Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Não;Manhã;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
31;Tecnologia em Sistemas Para Internet - Tecnólogo;Brasília de Minas;169.172;De 100 a 200 km;2018;Masculino;Parda;Casado(a);Sim, atuo no serviço público (federal, estadual ou municipal);Mais de 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Não;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;No trabalho;Não tenho necessidades especiais;Computador;0
48;Pedagogia - Licenciatura;Monte Azul;112.492;De 100 a 200 km;2018;Feminino;Preta;Solteiro(a);Sim, atuo no serviço público (federal, estadual ou municipal);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Presencial;Não;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Smartphone;0
32;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Montes Claros;0;Moro no mesmo município do polo;2018;Feminino;Parda;Casado(a);Outro;Até 20 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) particular(es);De 5 a 10 anos;Não;Não fiz outra graduação;Não;Tarde;De segunda a sexta;Autonomia nos estudos;Sim;Em casa;Não tenho necessidades especiais;Computador;0
36;Educação Física - Licenciatura Plena;Joaíma;0;Moro no mesmo município do polo;2018;Masculino;Parda;Casado(a);Sim, atuo no serviço público (federal, estadual ou municipal);Mais de 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Não fiz outra graduação;Não;Noite;Sábados e domingos;Facilidade de acesso às aulas e ao material didático;Sim;Em casa;Não tenho necessidades especiais;Computador;0
35;Educação Física - Licenciatura Plena;Joaíma;0;Moro no mesmo município do polo;2018;Feminino;Parda;Solteiro(a);Outro;De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 5 a 10 anos;Não;Não fiz outra graduação;Não;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;No trabalho;Não tenho necessidades especiais;Computador;1
35;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Joaíma;0;Moro no mesmo município do polo;2018;Feminino;Parda;Solteiro(a);Outro;De 21 a 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Não fiz outra graduação;Não;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
49;Letras Português - Licenciatura;Jequitinhonha;27.81;De 50km a 100 km;2018;Feminino;Preta;Solteiro(a);Outro;De 21 a 40 horas;Até 1 salário mínimo por pessoa;Educação de Jovens e Adultos (EJA);Em escola(s) pública(s);Mais de 10 anos;Não;Não fiz outra graduação;Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
26;Educação Física - Licenciatura Plena;Joaíma;0;Moro no mesmo município do polo;2018;Feminino;Parda;Solteiro(a);Não, não estou trabalhando;Não estou trabalhando;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 3 a 5 anos;Não;Não fiz outra graduação;Sim;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
29;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Montes Claros;0;Moro no mesmo município do polo;2018;Masculino;Branca;Solteiro(a);Não, não estou trabalhando;Não estou trabalhando;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 5 a 10 anos;Não;Não fiz outra graduação;Não;Noite;Sábados e domingos;Custos mais baixos para concluir o curso;Sim;Em casa;Não tenho necessidades especiais;Smartphone;1
25;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Montes Claros;134.549;De 100 a 200 km;2018;Feminino;Preta;Solteiro(a);Outro;De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 3 a 5 anos;Não;Não fiz outra graduação;Não;Tarde;De segunda a sexta;Facilidade de acesso às aulas e ao material didático;Sim;Em casa;Não tenho necessidades especiais;Computador;0
26;Letras Português - Licenciatura;Jequitinhonha;0;Moro no mesmo município do polo;2018;Masculino;Branca;Solteiro(a);Outro;De 21 a 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 3 a 5 anos;Não;Não fiz outra graduação;Não;Noite;De segunda a sexta;Autonomia nos estudos;Sim;Em casa;Não tenho necessidades especiais;outros;1
48;Letras Português - Licenciatura;Jequitinhonha;0;Moro no mesmo município do polo;2018;Feminino;Branca;Casado(a);Outro;Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;A distância (ou semipresencial);Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;1
28;Letras Português - Licenciatura;Jequitinhonha;27.81;Até 50km;2018;Outro;Preta;Solteiro(a);Outro;De 21 a 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 5 a 10 anos;Sim;A distância (ou semipresencial);Sim;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Smartphone;1
37;Pedagogia - Licenciatura;Monte Azul;0;Moro no mesmo município do polo;2018;Feminino;Preta;Casado(a);Sim, atuo no serviço público (federal, estadual ou municipal);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Não fiz outra graduação;Não;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
44;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Bocaiúva;47.647;Até 50km;2018;Masculino;Parda;Casado(a);Sim, atuo no setor privado;Até 20 horas;De 1 a 2 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 3 a 5 anos;Sim;A distância (ou semipresencial);Sim;Manhã;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Física (para locomoção);Computador;1
35;Geografia - Licenciatura;Buritis;0;Moro no mesmo município do polo;2018;Feminino;Branca;Solteiro(a);Sim, atuo no serviço público (federal, estadual ou municipal);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 5 a 10 anos;Não;Presencial;Não;Noite;Sábados e domingos;Custos mais baixos para concluir o curso;Sim;Em casa;Não tenho necessidades especiais;Computador;0
43;Letras Português - Licenciatura;Itamarandiba;46.47;De 50km a 100 km;2018;Masculino;Parda;Solteiro(a);Sim, atuo no serviço público (federal, estadual ou municipal);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Não fiz outra graduação;Sim;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
36;Educação Física - Licenciatura Plena;Monte Azul;0;Moro no mesmo município do polo;2018;Masculino;Parda;Casado(a);Sim, atuo no serviço público (federal, estadual ou municipal);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;A distância (ou semipresencial);Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;outros;1
40;Letras Português - Licenciatura;Itamarandiba;0;De 50km a 100 km;2018;Feminino;Parda;Casado(a);Outro;De 21 a 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 5 a 10 anos;Não;Não fiz outra graduação;Sim;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
40;Educação Física - Licenciatura Plena;Joaíma;27.634;Até 50km;2018;Masculino;Parda;Casado(a);Outro;Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) particular(es);Mais de 10 anos;Sim;Presencial;Sim;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
41;Tecnologia em Sistemas Para Internet - Tecnólogo;Brasília de Minas;202.427;Mais de 200 km;2018;Masculino;Preta;Casado(a);Outro;Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Educação de Jovens e Adultos (EJA);Em escola(s) pública(s);De 5 a 10 anos;Não;Não fiz outra graduação;Não;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
42;Geografia - Licenciatura;Mantena;0;Moro no mesmo município do polo;2018;Masculino;Preta;Casado(a);Sim, atuo no serviço público (federal, estadual ou municipal);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Presencial;Sim;Tarde;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;1
42;Geografia - Licenciatura;Mantena;0;Moro no mesmo município do polo;2018;Masculino;Parda;Casado(a);Sim, atuo no setor privado;Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Não fiz outra graduação;Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
42;Pedagogia - Licenciatura;Nova Serrana;7.327;Moro no mesmo município do polo;2018;Feminino;Parda;Casado(a);Não, não estou trabalhando;Não estou trabalhando;Até 1 salário mínimo por pessoa;Educação de Jovens e Adultos (EJA);Em escola(s) pública(s);De 3 a 5 anos;Não;Não fiz outra graduação;Não;Noite;De segunda a sexta;Custos mais baixos para concluir o curso;Sim;Em casa;Não tenho necessidades especiais;Computador;0
34;Pedagogia - Licenciatura;Nova Serrana;0;Moro no mesmo município do polo;2018;Feminino;Parda;Casado(a);Outro;De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Não fiz outra graduação;Sim;Noite;De segunda a sexta;Custos mais baixos para concluir o curso;Sim;Em casa;Não tenho necessidades especiais;Computador;0
48;Pedagogia - Licenciatura;Buritis;136.046;De 100 a 200 km;2018;Feminino;Parda;Solteiro(a);Outro;De 21 a 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Não;Não fiz outra graduação;Sim;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
